date,totalValue,totalKRW,totalUSD,itemCount
2026-02-21,781098800.5,577619387,140330.63,26
2026-02-21,781098800.5,577619387,140330.63,26
2026-02-21,992362962,743529821,166883.38,36840,58
2026-02-21,992362962,743529821,166883.38,36840,58
